almonds,7
apple,52
banana,89
bhel,350
biscuits,353
bread,265
burger,295
butter,717
cake,371
calamari,175
cashew nuts,553
chana or chole,364
chicken,239
chocolate,546
chocos,111
coconut,354
coffee,0
corn flakes,357
dahi,59
dal chawal,166
dosa,120
frenchfries,312
gnocci,152
grapes,67
hotdog,290
ice cream,207
idli,39
khousuey,160
mango,60
milk,42
nachos,306
pancakes,227
paneer,265
pani puri,475
paratha,126
pasta,131
pav bhaji,232
peanuts,567
pineapple,82
pizza,266
poha,100
popcorn,375
prawns,115
roti,297
roti and bhaji,110
samosa,262
stuffed roll,276
tea,2
upma,123
wafers,433
waffles,293
watermelon,30
